title;year;volume;issue;journal;language;family;subgroup;mono_multilingual;topic;country;region;continent;coder;inclusion
Enabling Factors in Adult-Child Discourse;1980;1;1;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
Enabling Factors in Adult-Child Discourse;1980;1;1;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United Kingdom;northerneurope;Europe;MK;included
Enabling Factors in Adult-Child Discourse;1980;1;1;FL;English;Indo-European;English;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Implementation of Classroom Research Findings on the Early Language Development of Mentally Handicapped Children;1980;1;1;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Ireland;northerneurope;Europe;MK;included
Implementation of Classroom Research Findings on the Early Language Development of Mentally Handicapped Children;1980;1;1;FL;English;Indo-European;English;NR;Vocabulary and Semantics;Ireland;northerneurope;Europe;MK;included
Implementation of Classroom Research Findings on the Early Language Development of Mentally Handicapped Children;1980;1;1;FL;English;Indo-European;English;NR;Morphosyntax;Ireland;northerneurope;Europe;MK;included
Language and Curriculum Development : a necessary compromise;1980;1;1;FL;English;Indo-European;English;multi;Vocabulary and Semantics;United Kingdom;northerneurope;Europe;MK;included
Language and Curriculum Development : a necessary compromise;1980;1;1;FL;English;Indo-European;English;multi;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
Language and Curriculum Development : a necessary compromise;1980;1;1;FL;English;Indo-European;English;multi;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
"""Whose are yours?""";1980;1;2;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
"""Whose are yours?""";1980;1;2;FL;English;Indo-European;English;mono (NR);Language and Cognition;United Kingdom;northerneurope;Europe;MK;included
Learning Language from Mothers’ Replies;1980;1;2;FL;English;Indo-European;English;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Learning Language the Hard Way;1980;1;2;FL;English;Indo-European;English;multi;Morphosyntax;United States;northamerica;North America;MK;included
Learning Language the Hard Way;1980;1;2;FL;English;Indo-European;English;multi;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Learning Language the Hard Way;1980;1;2;FL;English;Indo-European;English;multi;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Learning Language the Hard Way;1980;1;2;FL;English;Indo-European;English;multi;Vocabulary and Semantics;United Kingdom;northerneurope;Europe;MK;included
Linguistic Fedback and Maternal Speech: Comparisons of Mothers Addressing Infants, One-Year-Olds and Two-Year-Olds;1980;1;2;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Australia;australia_and_new_zealand;Others;MK;included
Linguistic Fedback and Maternal Speech: Comparisons of Mothers Addressing Infants, One-Year-Olds and Two-Year-Olds;1980;1;2;FL;English;Indo-European;English;NR;Morphosyntax;Australia;australia_and_new_zealand;Others;MK;included
On Asking Children Bizarre Questions;1980;1;2;FL;English;Indo-European;English;mono;Language and Cognition;United Kingdom;northerneurope;Europe;MK;included
On Asking Children Bizarre Questions;1980;1;2;FL;English;Indo-European;English;mono;Language and Cognition;Australia;australia_and_new_zealand;Others;MK;included
Backwardness in Reading and Linguistic/Memory Deficits;1980;1;3;FL;English;Indo-European;English;NR;Language and Cognition;United Kingdom;northerneurope;Europe;MK;included
Linguistic Feedback and Maternal Speech: Comparisons of Mothers Addressing Hearing and Hearing-impaired Children;1980;1;3;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Australia;australia_and_new_zealand;Others;MK;included
Story-telling, Dramatic Role Play and Displaced Speech in Play with Dolls;1980;1;3;FL;Swedish;Indo-European;other Indo-European;NR;Language and Cognition;Sweden;northerneurope;Europe;MK;included
Story-telling, Dramatic Role Play and Displaced Speech in Play with Dolls;1980;1;3;FL;Swedish;Indo-European;other Indo-European;NR;Pragmatics and Discourse;Sweden;northerneurope;Europe;MK;included
Story-telling, Dramatic Role Play and Displaced Speech in Play with Dolls;1980;1;3;FL;Swedish;Indo-European;other Indo-European;NR;Pragmatics and Discourse;Sweden;northerneurope;Europe;MK;included
The Effect of Adult Role on the Language used by Preschool Children;1980;1;3;FL;English;Indo-European;English;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
The Effect of Adult Role on the Language used by Preschool Children;1980;1;3;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
Aspects of late language acquisition: school children’s use and comprehension of prepositions;1981;2;4;FL;English;Indo-European;English;mono (NR);Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Aspects of late language acquisition: school children’s use and comprehension of prepositions;1981;2;4;FL;English;Indo-European;English;mono (NR);Vocabulary and Semantics;United Kingdom;northerneurope;Europe;MK;included
Imaginative dialogues in children’s private speech;1981;2;4;FL;English;Indo-European;English;NR;Language and Cognition;United States;northamerica;North America;MK;included
Imaginative dialogues in children’s private speech;1981;2;4;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Information-processing strategies and short-term memory in normal and retarded children;1981;2;4;FL;English;Indo-European;English;NR;Morphosyntax;NA;NA;NA;MK;included
Information-processing strategies and short-term memory in normal and retarded children;1981;2;4;FL;English;Indo-European;English;NR;Language and Cognition;NA;NA;NA;MK;included
Teachers’ questions, pupils’ answers: an investigation of questions and answers in the infant classroom.;1981;2;4;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
The written English of second-generation West Indians;1981;2;4;FL;English;Indo-European;English;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Pronunciation, intonation and sentence comprehension: a comparison of young children from Afro-Caribbean and indigenous culture backgrounds;1981;2;6;FL;English;Indo-European;English;NR;Language and Cognition;United Kingdom;northerneurope;Europe;MK;included
Pronunciation, intonation and sentence comprehension: a comparison of young children from Afro-Caribbean and indigenous culture backgrounds;1981;2;6;FL;English;Indo-European;English;NR;Phonology;United Kingdom;northerneurope;Europe;MK;included
Pronunciation, intonation and sentence comprehension: a comparison of young children from Afro-Caribbean and indigenous culture backgrounds;1981;2;6;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
Teachers talk to language-delayed children;1981;2;6;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Language styles of 10 nursery school children;1982;3;7;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
Old and new forms, old and new meanings: the form-function hypotheses revisited;1982;3;7;FL;English;Indo-European;English;NR;Morphosyntax;United States;northamerica;North America;MK;included
Old and new forms, old and new meanings: the form-function hypotheses revisited;1982;3;7;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Reversibility and the acquisition of complex syntactic structures in 3- to 7-year-old children;1982;3;7;FL;Danish;Indo-European;other Indo-European;mono (NR);Language and Cognition;Denmark;northerneurope;Europe;MK;included
Reversibility and the acquisition of complex syntactic structures in 3- to 7-year-old children;1982;3;7;FL;Danish;Indo-European;other Indo-European;mono (NR);Morphosyntax;Denmark;northerneurope;Europe;MK;included
The development of cohesion in children’s writing: a preliminary investigation;1982;3;7;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
The development of cohesion in children’s writing: a preliminary investigation;1982;3;7;FL;English;Indo-European;English;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Facilitating children’s understanding of questions through pictures: implications for social class language differences;1982;3;8;FL;English;Indo-European;English;mono;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Facilitating children’s understanding of questions through pictures: implications for social class language differences;1982;3;8;FL;English;Indo-European;English;mono;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Facilitating children’s understanding of questions through pictures: implications for social class language differences;1982;3;8;FL;English;Indo-European;English;mono;Language and Cognition;United States;northamerica;North America;MK;included
Precocious reading acquisition: psycholinguistic development, IQ, and home background;1982;3;8;FL;English;Indo-European;English;NR;Morphosyntax;Canada;northamerica;North America;MK;included
Precocious reading acquisition: psycholinguistic development, IQ, and home background;1982;3;8;FL;English;Indo-European;English;NR;Language and Cognition;Canada;northamerica;North America;MK;included
Precocious reading acquisition: psycholinguistic development, IQ, and home background;1982;3;8;FL;English;Indo-European;English;NR;Phonology;Canada;northamerica;North America;MK;included
Social interaction and language acquisition: Motherese help you;1982;3;8;FL;English;Indo-European;English;NR;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Social interaction and language acquisition: Motherese help you;1982;3;8;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
When ’Don’t’ means’Do’: pragmatic and cognitive development in understanding an indirect imperative;1982;3;8;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Young children’s overextensions of object words in comprehension and/or production: support for a prototype theory of early object word meaning;1982;3;8;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
’Text’ as an object of metalinguistic knowledge: a study in literacy development;1982;3;9;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
’Text’ as an object of metalinguistic knowledge: a study in literacy development;1982;3;9;FL;English;Indo-European;English;NR;Language and Cognition;United States;northamerica;North America;MK;included
A developmental study of low- and middle-class children’s responses to wh-questions;1982;3;9;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;United States;northamerica;North America;MK;included
A developmental study of low- and middle-class children’s responses to wh-questions;1982;3;9;FL;English;Indo-European;English;mono (NR);Vocabulary and Semantics;United States;northamerica;North America;MK;included
Assessing mentally handicapped children’s use of sentence structuring rules;1982;3;9;FL;English;Indo-European;English;NR;Morphosyntax;Ireland;northerneurope;Europe;MK;included
Explicit models of language: a child’s-eye view of language functions;1982;3;9;FL;English;Indo-European;English;NR;Language and Cognition;United Kingdom;northerneurope;Europe;MK;included
Formal coherence production in children’s discourse;1982;3;9;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
An examination of adapted communication in young children;1983;4;10;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
The child’s conceptualization of speech and language;1983;4;10;FL;English;Indo-European;English;NR;Language and Cognition;United States;northamerica;North America;MK;included
The nonverbal context of mothers’ speech to infants;1983;4;10;FL;English;Indo-European;English;mono (NR);Non-verbal communication;United Kingdom;northerneurope;Europe;MK;included
The nonverbal context of mothers’ speech to infants;1983;4;10;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
The role of action in early lexical acquisition;1983;4;10;FL;English;Indo-European;English;NR;Language and Cognition;United States;northamerica;North America;MK;included
The role of action in early lexical acquisition;1983;4;10;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
Children’s resolution of pronominal reference in text;1983;4;11;FL;English;Indo-European;English;NR;Morphosyntax;United States;northamerica;North America;MK;included
Children’s resolution of pronominal reference in text;1983;4;11;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Children’s story-retelling;1983;4;11;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Children’s story-retelling;1983;4;11;FL;English;Indo-European;English;NR;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Children’s story-retelling;1983;4;11;FL;English;Indo-European;English;NR;Morphosyntax;Canada;northamerica;North America;MK;included
Children’s story-retelling;1983;4;11;FL;English;Indo-European;English;NR;Language and Cognition;Canada;northamerica;North America;MK;included
