language,count,name_matching
Afrikaans,1,Afrikaans
American Sign Language,15,American Sign Language
Arabic,15,Standard Arabic
Armenian,1,Eastern Armenian
Basque,4,Basque
Bengali,1,Bengali
Bontok (Central),1,Central Bontoc
British Sign Language,6,British Sign Language
Bulgarian,3,Bulgarian
Cantonese,28,Yue Chinese
Catalan,18,Catalan
Chintang,1,Chintang
Conchucos Quechua,1,Huallaga Huánuco Quechua
Cree (Northern East),1,Plains Cree
Czech,5,Czech
Danish,14,Danish
Dutch,115,Dutch
English,1789,English
Esperanto,1,Esperanto
Estonian,13,Estonian
Faroese,2,Faroese
Farsi,7,Western Farsi
Finnish,30,Finnish
French,215,French
Frisian,3,Western Frisian
Galician,3,Galician
German,136,German
Greek,26,Modern Greek
Greenlandic,1,Greenlandic Inuit
Hebrew,90,Modern Hebrew
Hindi,3,Hindi
Hmong,2,Central Huishui Hmong
Home sign,2,Home sign
Huli,1,Huli
Hungarian,7,Hungarian
Icelandic,8,Icelandic
Igbo,1,Igbo
Indonesian,1,Standard Indonesian
Inuktitut,4,Western Canadian Inuktitut
Irish,8,Irish
Italian,114,Italian
Jamaican Creole English,2,Jamaican Creole English
Japanese,63,Japanese
Kannada,1,Kannada
Kigiriama,2,Giryama
Korean,29,Korean
Kurdish,1,Central Kurdish
K?iche?,3,K'iche'
LIS (Italian Sign Language),1,Italian Sign Language
Latvian,1,Latvian
Laz,1,Laz
Limburgian,1,Limburgan
Lisu,1,Lisu
Lithuanian,5,Lithuanian
Malay,3,Standard Malay
Malayalam,1,Malayalam
Maltese,3,Maltese
Mandarin,83,Mandarin Chinese
Maori,2,Maori
Marathi,1,Marathi
Min Nan,4,Min Nan Chinese
Mohawk,1,Mohawk
Navajo,1,Navajo
Nepali,1,Nepali Kurux
Ngas,1,Ngas
Norwegian,17,Norwegian
Nungon,1,Yau-Nungon
Polish,25,Polish
Portuguese,25,Portuguese
Punjabi,1,Eastern Panjabi
Quebec Sign Language,1,Quebec Sign Language
Romanian,4,Romanian
Russian,35,Russian
R?union Creole,1,Réunion Creole French
Samoan,2,Samoan
Serbo-Croatian,12,Serbian Standard
Sesotho,6,Lozi
Setswana,1,Tswana
Signing Exact English,4,Signing Exact English
Slovenian,2,Slovenian
Southern Peruvian Quechua,5,Cusco Quechua
Spanish,153,Spanish
Swahili,4,Swahili
Swedish,21,Swedish
Tagalog,8,Tagalog
Tamil,10,Tamil
Telugu,1,Telugu
Thai,5,Thai
Tongan,1,Tonga (Tonga Islands)
Trinidadian Creole English,2,Trinidadian Creole English
Tsonga,2,Tsonga
Turkish,28,Turkish
Turkish Sign Language,1,Turkish Sign Language
Ukranian,2,Ukrainian
Urdu,2,Urdu
Warlpiri,4,Warlpiri
Warlpiri (Light),2,Light Warlpiri
Welsh,5,Welsh
Wichi,1,Wichí Lhamtés Güisnay
Wolof,2,Wolof
Xhosa,1,Xhosa
Yucatec,2,Yucatec Maya
Zulu,1,Zulu
